budget_type,dataset,budget,comparison,delta_avg5,ci95_low,ci95_high
span_fraction,RE2-OB,0.1,abnormality_topk_minus_random,-0.008889,-0.044444,0.026722
span_fraction,RE2-OB,0.1,service_aware_abnormality_minus_random,-0.008889,-0.046667,0.026667
span_fraction,RE2-OB,0.25,abnormality_topk_minus_random,-0.024444,-0.057778,0.006667
span_fraction,RE2-OB,0.25,service_aware_abnormality_minus_random,-0.024444,-0.055556,0.002222
span_fraction,RE2-OB,0.5,abnormality_topk_minus_random,-0.011111,-0.033333,0.008889
span_fraction,RE2-OB,0.5,service_aware_abnormality_minus_random,-0.011111,-0.035556,0.008889
span_fraction,RE2-OB,1.0,abnormality_topk_minus_random,0.000000,0.000000,0.000000
span_fraction,RE2-OB,1.0,service_aware_abnormality_minus_random,0.000000,0.000000,0.000000
span_fraction,RE2-TT,0.1,abnormality_topk_minus_random,-0.171111,-0.248889,-0.102222
span_fraction,RE2-TT,0.1,service_aware_abnormality_minus_random,-0.191111,-0.266722,-0.122222
span_fraction,RE2-TT,0.25,abnormality_topk_minus_random,-0.155556,-0.224500,-0.084444
span_fraction,RE2-TT,0.25,service_aware_abnormality_minus_random,-0.151111,-0.224500,-0.086667
span_fraction,RE2-TT,0.5,abnormality_topk_minus_random,-0.097778,-0.162222,-0.046611
span_fraction,RE2-TT,0.5,service_aware_abnormality_minus_random,-0.093333,-0.146722,-0.044444
span_fraction,RE2-TT,1.0,abnormality_topk_minus_random,0.000000,0.000000,0.000000
span_fraction,RE2-TT,1.0,service_aware_abnormality_minus_random,0.000000,0.000000,0.000000
trace_fraction,RE2-OB,0.1,abnormality_topk_minus_random,-0.017778,-0.048889,0.015556
trace_fraction,RE2-OB,0.1,service_aware_abnormality_minus_random,-0.017778,-0.051111,0.015556
trace_fraction,RE2-OB,0.25,abnormality_topk_minus_random,-0.020000,-0.044444,0.004444
trace_fraction,RE2-OB,0.25,service_aware_abnormality_minus_random,-0.020000,-0.044444,0.004444
trace_fraction,RE2-OB,0.5,abnormality_topk_minus_random,0.002222,-0.004444,0.011111
trace_fraction,RE2-OB,0.5,service_aware_abnormality_minus_random,0.002222,-0.004444,0.011111
trace_fraction,RE2-OB,1.0,abnormality_topk_minus_random,0.000000,0.000000,0.000000
trace_fraction,RE2-OB,1.0,service_aware_abnormality_minus_random,0.000000,0.000000,0.000000
trace_fraction,RE2-TT,0.1,abnormality_topk_minus_random,-0.146667,-0.220000,-0.077778
trace_fraction,RE2-TT,0.1,service_aware_abnormality_minus_random,-0.146667,-0.224444,-0.077778
trace_fraction,RE2-TT,0.25,abnormality_topk_minus_random,-0.082222,-0.144444,-0.028889
trace_fraction,RE2-TT,0.25,service_aware_abnormality_minus_random,-0.082222,-0.142278,-0.031056
trace_fraction,RE2-TT,0.5,abnormality_topk_minus_random,-0.011111,-0.024444,0.000000
trace_fraction,RE2-TT,0.5,service_aware_abnormality_minus_random,-0.011111,-0.026667,0.000000
trace_fraction,RE2-TT,1.0,abnormality_topk_minus_random,0.000000,0.000000,0.000000
trace_fraction,RE2-TT,1.0,service_aware_abnormality_minus_random,0.000000,0.000000,0.000000
