dataset,policy,budget,cases,avg5,ci95_low,ci95_high
RE2-OB,latency_topk,0.1,90,0.593333,0.542222,0.644444
RE2-OB,latency_topk,0.25,90,0.615556,0.564444,0.666667
RE2-OB,latency_topk,0.5,90,0.622222,0.566667,0.673333
RE2-OB,latency_topk,1.0,90,0.624444,0.575500,0.675556
RE2-OB,random,0.1,90,0.613333,0.555500,0.675611
RE2-OB,random,0.25,90,0.622222,0.571056,0.675556
RE2-OB,random,0.5,90,0.626667,0.571056,0.675611
RE2-OB,random,1.0,90,0.624444,0.571111,0.675556
RE2-TT,latency_topk,0.1,90,0.922222,0.877778,0.957778
RE2-TT,latency_topk,0.25,90,0.944444,0.906667,0.971111
RE2-TT,latency_topk,0.5,90,0.953333,0.924444,0.977778
RE2-TT,latency_topk,1.0,90,0.955556,0.926667,0.977778
RE2-TT,random,0.1,90,0.973333,0.957778,0.986667
RE2-TT,random,0.25,90,0.968889,0.951111,0.984444
RE2-TT,random,0.5,90,0.960000,0.937778,0.980000
RE2-TT,random,1.0,90,0.955556,0.931111,0.975611
