dataset,policy,budget,cases,avg5,ci95_low,ci95_high
RE2-OB,early_window,0.1,90,0.631111,0.577778,0.680000
RE2-OB,early_window,0.25,90,0.622222,0.566667,0.673333
RE2-OB,early_window,0.5,90,0.622222,0.566667,0.677778
RE2-OB,early_window,1.0,90,0.624444,0.575556,0.671167
RE2-OB,late_window,0.1,90,0.597778,0.542222,0.648889
RE2-OB,late_window,0.25,90,0.600000,0.544444,0.655556
RE2-OB,late_window,0.5,90,0.600000,0.542222,0.653333
RE2-OB,late_window,1.0,90,0.624444,0.571111,0.675556
RE2-OB,random,0.1,90,0.613333,0.555556,0.673333
RE2-OB,random,0.25,90,0.622222,0.571111,0.675556
RE2-OB,random,0.5,90,0.626667,0.573333,0.677778
RE2-OB,random,1.0,90,0.624444,0.573333,0.680000
RE2-TT,early_window,0.1,90,0.924444,0.873333,0.962222
RE2-TT,early_window,0.25,90,0.933333,0.891111,0.971111
RE2-TT,early_window,0.5,90,0.942222,0.906667,0.973333
RE2-TT,early_window,1.0,90,0.955556,0.928889,0.977778
RE2-TT,late_window,0.1,90,0.937778,0.897778,0.973333
RE2-TT,late_window,0.25,90,0.957778,0.931056,0.980000
RE2-TT,late_window,0.5,90,0.948889,0.917778,0.975556
RE2-TT,late_window,1.0,90,0.955556,0.928889,0.975611
RE2-TT,random,0.1,90,0.973333,0.957778,0.984500
RE2-TT,random,0.25,90,0.968889,0.948889,0.984444
RE2-TT,random,0.5,90,0.960000,0.935556,0.977778
RE2-TT,random,1.0,90,0.955556,0.926667,0.977778
