dataset,service,fault,instance,seed,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,total_reduction,post_injection_reduction,top5_services
RE2-OB,checkoutservice,cpu,1,2026,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.15,1.0,1.0,1.0,1.0,23969,11945,13816,1792,0.42358880220284534,0.8499790707408957,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.2,1.0,1.0,1.0,1.0,23969,11945,14413,2389,0.3986816304393175,0.8,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,0.3737744586757895,0.7500209292591042,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.35,1.0,1.0,1.0,1.0,23969,11945,16205,4181,0.32391839459301597,0.6499790707408958,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,0.24919687930243228,0.5000418585182085,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,0.75,1.0,1.0,1.0,1.0,23969,11945,20983,8959,0.12457757937335723,0.24997907074089576,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2026,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,0.0,0.0,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.05,1.0,1.0,1.0,1.0,23969,11945,12621,597,0.4734448662856189,0.9500209292591042,"['checkoutservice', 'frontendservice', 'emailservice', 'paymentservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,1,2027,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,0.448537694522091,0.9000418585182084,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
