dataset,fault,budget,seeds,cases_per_seed,top1_mean,top3_mean,top5_mean,avg5_mean,avg5_std,total_reduction_mean,post_injection_reduction_mean,avg5_ci95
RE2-OB,cpu,0.05,10,15.0,0.13999999999999999,0.7666666666666667,0.9866666666666667,0.6946666666666668,0.031708549300865745,0.44306682301159006,0.9499860703974148,0.01965316246973318
RE2-OB,cpu,0.1,10,15.0,0.12,0.78,0.9933333333333334,0.6933333333333334,0.022662308949301296,0.4197446468420864,0.8999667738187129,0.014046244610369048
RE2-OB,cpu,0.15,10,15.0,0.12,0.7933333333333333,1.0,0.6986666666666668,0.020073937405575473,0.3964251774754103,0.8499529573684252,0.012441955306616861
RE2-OB,cpu,0.2,10,15.0,0.09333333333333334,0.8,1.0,0.6946666666666668,0.011674600476945494,0.37311115341700035,0.800040529186011,0.0072359923428086245
RE2-OB,cpu,0.25,10,15.0,0.11333333333333333,0.8,1.0,0.6986666666666668,0.012881223774390573,0.34978905517851455,0.7500213178002959,0.007983865210767483
RE2-OB,cpu,0.35,10,15.0,0.1,0.8,1.0,0.6986666666666667,0.006885303726590938,0.30314740964233483,0.6499882047713063,0.0042675554629822325
RE2-OB,cpu,0.5,10,15.0,0.07333333333333333,0.8,1.0,0.6946666666666668,0.004216370213557837,0.23318901707547815,0.5000369194928596,0.0026133333333333317
RE2-OB,cpu,0.75,10,15.0,0.06666666666666667,0.8,1.0,0.692,0.004216370213557786,0.11659720748699169,0.24997868219970423,0.0026133333333333
RE2-OB,cpu,1.0,10,15.0,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0,0.0,0.0
RE2-OB,delay,0.05,10,15.0,0.2,0.49333333333333335,0.9,0.5599999999999999,0.029481109247603544,0.4555460733632045,0.9499959492070775,0.018272580821453298
RE2-OB,delay,0.1,10,15.0,0.2,0.45999999999999996,0.8933333333333333,0.5573333333333333,0.028665805327283713,0.43157647872337457,0.9000099911545482,0.017767250216252178
RE2-OB,delay,0.15,10,15.0,0.2,0.4533333333333333,0.8933333333333333,0.5493333333333333,0.03130100775406046,0.40759274812772694,0.8499938182995599,0.01940056560203883
RE2-OB,delay,0.2,10,15.0,0.2,0.45999999999999996,0.9266666666666667,0.5706666666666667,0.01513723232526788,0.3836203561929141,0.800001993010912,0.00938215379731876
RE2-OB,delay,0.25,10,15.0,0.2,0.45999999999999996,0.9266666666666667,0.56,0.02666666666666665,0.35964223133230416,0.7499977109071058,0.016528171237146717
RE2-OB,delay,0.35,10,15.0,0.2,0.45999999999999996,0.9333333333333333,0.5626666666666666,0.016390301257409545,0.311686361833692,0.6499909867654651,0.010158813967908235
RE2-OB,delay,0.5,10,15.0,0.2,0.42000000000000004,0.9400000000000001,0.5573333333333335,0.018645490634135998,0.23976311713974857,0.5000012398733285,0.011556594825060574
RE2-OB,delay,0.75,10,15.0,0.2,0.44000000000000006,0.9333333333333333,0.5573333333333335,0.010517475169954877,0.11988191369685612,0.2500022890928943,0.0065187986471794915
RE2-OB,delay,1.0,10,15.0,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0,0.0,0.0
RE2-OB,disk,0.05,10,15.0,0.18666666666666668,0.76,1.0,0.6826666666666666,0.012252487779635779,0.46535487244441576,0.949996731468197,0.007594170603857545
RE2-OB,disk,0.1,10,15.0,0.19333333333333333,0.78,0.9933333333333334,0.692,0.025492676266133295,0.4408631960978527,0.8999979390068594,0.0158005244482424
RE2-OB,disk,0.15,10,15.0,0.2,0.78,0.9933333333333334,0.6946666666666667,0.021268419758231828,0.41636902391865044,0.8499945808449499,0.013182303139033893
RE2-OB,disk,0.2,10,15.0,0.19333333333333333,0.8,1.0,0.7,0.009428090415820625,0.3918777156530396,0.7999971618437195,0.005843590981199445
RE2-OB,disk,0.25,10,15.0,0.2,0.8,1.0,0.704,0.008432740427115707,0.3673887318804271,0.7500036099896878,0.005226666666666684
RE2-OB,disk,0.35,10,15.0,0.2,0.8,1.0,0.7053333333333334,0.004216370213557815,0.3184004875429661,0.6499973809385567,0.0026133333333333186
RE2-OB,disk,0.5,10,15.0,0.2,0.8,1.0,0.7066666666666667,0.0,0.2449256182754956,0.500001524894234,0.0
RE2-OB,disk,0.75,10,15.0,0.2,0.8,1.0,0.7066666666666667,0.0,0.12246027588021913,0.2499963900103123,0.0
RE2-OB,disk,1.0,10,15.0,0.2,0.8,1.0,0.7066666666666667,0.0,0.0,0.0,0.0
RE2-OB,loss,0.05,10,15.0,0.18666666666666668,0.49333333333333335,0.8800000000000001,0.5253333333333334,0.03337774818758858,0.420225776069633,0.9500024201686028,0.020687742658306047
RE2-OB,loss,0.1,10,15.0,0.15333333333333335,0.4866666666666667,0.9,0.532,0.029110262922333898,0.39810998896762695,0.900002120137495,0.018042727887701174
RE2-OB,loss,0.15,10,15.0,0.17333333333333334,0.44000000000000006,0.9199999999999999,0.52,0.025141574442188366,0.37599019048224075,0.8500000035857778,0.01558290928319854
RE2-OB,loss,0.2,10,15.0,0.14666666666666667,0.45999999999999996,0.9,0.5106666666666666,0.0235597480545752,0.3538770035529795,0.8000053494571289,0.014602483130627002
RE2-OB,loss,0.25,10,15.0,0.13999999999999999,0.4666666666666667,0.9,0.512,0.019064542746246416,0.3317532601839522,0.7499890707731662,0.011816326015044912
RE2-OB,loss,0.35,10,15.0,0.1,0.45999999999999996,0.8800000000000001,0.5013333333333334,0.02195393606262836,0.28752422873012434,0.6500054137268375,0.013607190546468464
RE2-OB,loss,0.5,10,15.0,0.08,0.45999999999999996,0.8866666666666667,0.5,0.012957670877433996,0.22116318012911043,0.4999765302531786,0.00803124761613069
RE2-OB,loss,0.75,10,15.0,0.08666666666666667,0.4666666666666667,0.8666666666666668,0.4986666666666667,0.011243653902820911,0.11058972574661216,0.2500109292268338,0.006968888888888893
RE2-OB,loss,1.0,10,15.0,0.06666666666666667,0.4666666666666667,0.8666666666666668,0.49333333333333335,0.0,0.0,0.0,0.0
RE2-OB,mem,0.05,10,15.0,0.05333333333333333,0.5266666666666666,0.9533333333333334,0.5760000000000001,0.028665805327283734,0.43749821112839926,0.9499976642716648,0.01776725021625219
RE2-OB,mem,0.1,10,15.0,0.013333333333333332,0.5333333333333333,0.9933333333333334,0.5786666666666667,0.016865480854231334,0.414476828963746,0.90001213098329,0.010453333333333318
RE2-OB,mem,0.15,10,15.0,0.03333333333333333,0.5866666666666667,0.9933333333333334,0.6013333333333334,0.011674600476945539,0.39144756754563553,0.8500013012042376,0.007235992342808652
RE2-OB,mem,0.2,10,15.0,0.013333333333333332,0.5599999999999999,1.0,0.5933333333333334,0.007027283689263057,0.3684173376695972,0.7999972005754007,0.00435555555555555
RE2-OB,mem,0.25,10,15.0,0.04,0.5533333333333333,0.9933333333333334,0.5946666666666667,0.009322745317068015,0.3453914150706759,0.7499949915623504,0.005778297412530296
RE2-OB,mem,0.35,10,15.0,0.02,0.5466666666666666,1.0,0.5933333333333334,0.01133115447465066,0.29934396959682186,0.6500068684166812,0.00702312230518453
RE2-OB,mem,0.5,10,15.0,0.013333333333333332,0.5533333333333333,1.0,0.592,0.01124365390282088,0.23025853597341026,0.49998970915784186,0.0069688888888888734
RE2-OB,mem,0.75,10,15.0,0.006666666666666666,0.5466666666666666,1.0,0.5906666666666667,0.008999314102807403,0.11513277373820882,0.25000500843764956,0.005577832669052634
RE2-OB,mem,1.0,10,15.0,0.0,0.5333333333333333,1.0,0.5866666666666667,0.0,0.0,0.0,0.0
RE2-OB,socket,0.05,10,15.0,0.16666666666666669,0.7066666666666667,0.96,0.6306666666666667,0.044020197384584465,0.4608876211960812,0.9499993448994546,0.027284001009952895
RE2-OB,socket,0.1,10,15.0,0.17333333333333334,0.7066666666666667,0.9733333333333334,0.648,0.0356664935959802,0.4366322431890669,0.9000037671913607,0.022106321759360923
RE2-OB,socket,0.15,10,15.0,0.16666666666666669,0.7533333333333333,0.9866666666666667,0.6679999999999999,0.02305120440869318,0.4123734531884187,0.8499986552120931,0.014287284513350717
RE2-OB,socket,0.2,10,15.0,0.17333333333333334,0.7533333333333333,1.0,0.6773333333333333,0.019676394329936585,0.3881126817605434,0.7999922799251904,0.012195555555555555
RE2-OB,socket,0.25,10,15.0,0.17333333333333334,0.7533333333333333,0.9800000000000001,0.6746666666666667,0.02754121490636383,0.36385737137852736,0.7499970107243595,0.017070221851928975
RE2-OB,socket,0.35,10,15.0,0.16,0.7733333333333333,1.0,0.6799999999999999,0.014054567378526134,0.3153459456779915,0.6500019060157131,0.008711111111111112
