dataset,budget,seeds,cases_per_seed,top1_mean,top3_mean,top5_mean,avg5_mean,avg5_std,total_reduction_mean,post_injection_reduction_mean,avg5_ci95
RE2-OB,0.05,10,90.0,0.15555555555555556,0.6244444444444445,0.9466666666666667,0.6115555555555556,0.018616039516977514,0.4470965628688873,0.9499963634020686,0.01153834083352855
RE2-OB,0.1,10,90.0,0.1422222222222222,0.6244444444444445,0.9577777777777777,0.6168888888888888,0.01209019600776486,0.42356723046395894,0.8999987870487111,0.0074935811215127
RE2-OB,0.15,10,90.0,0.1488888888888889,0.6344444444444444,0.9644444444444444,0.6220000000000001,0.009852130321878979,0.40003302678968045,0.8499902194191741,0.0061064136379012975
RE2-OB,0.2,10,90.0,0.13666666666666666,0.638888888888889,0.971111111111111,0.6244444444444445,0.0071817479369130945,0.3765027080410123,0.8000057523330606,0.004451293488124682
RE2-OB,0.25,10,90.0,0.14444444444444443,0.638888888888889,0.9666666666666666,0.624,0.008367419997892107,0.35297034417073353,0.7500006186261609,0.00518618064518575
RE2-OB,0.35,10,90.0,0.12999999999999998,0.64,0.9688888888888888,0.6235555555555556,0.006474599521011031,0.3059080671706551,0.64999846010576,0.0040129983590706944
RE2-OB,0.5,10,90.0,0.12,0.6322222222222222,0.9677777777777777,0.6208888888888888,0.0039475296576220245,0.23531188742427406,0.500000908053181,0.0024467042304334506
RE2-OB,0.75,10,90.0,0.11888888888888889,0.638888888888889,0.9666666666666666,0.6231111111111112,0.0038059948381230107,0.11765835710769201,0.2499993813738391,0.002358980040457262
RE2-OB,1.0,10,90.0,0.11111111111111112,0.6444444444444445,0.9666666666666666,0.6244444444444445,0.0,0.0,0.0,0.0
RE2-TT,0.05,10,90.0,0.8277777777777778,0.9744444444444446,0.9822222222222223,0.9455555555555556,0.011197197376171083,0.46307471737882366,0.9500036357053464,0.006940094835355714
RE2-TT,0.1,10,90.0,0.8400000000000001,0.9777777777777779,0.9877777777777779,0.9513333333333334,0.006058697791608451,0.4387081605349488,0.9000124047185503,0.0037552197965185197
RE2-TT,0.15,10,90.0,0.8422222222222222,0.9799999999999999,0.9888888888888889,0.9524444444444444,0.007853249351525055,0.41433174980440324,0.8500063868736343,0.004867494376875661
RE2-TT,0.2,10,90.0,0.8377777777777778,0.9788888888888888,0.9888888888888889,0.952,0.008587482516260406,0.3899552815401445,0.7999898170679731,0.005322576807178338
RE2-TT,0.25,10,90.0,0.8377777777777778,0.9844444444444445,0.9922222222222222,0.9553333333333333,0.005179891477643585,0.36558106339794577,0.749989954272672,0.003210529999962381
RE2-TT,0.35,10,90.0,0.8377777777777778,0.9866666666666667,0.9955555555555555,0.9568888888888889,0.004344556532923051,0.3168436672538079,0.650005038330046,0.0026927840372106254
RE2-TT,0.5,10,90.0,0.8400000000000001,0.9844444444444445,0.9933333333333334,0.9553333333333333,0.0028592976393509947,0.24371348181550725,0.499976817631312,0.0017722110375435994
RE2-TT,0.75,10,90.0,0.8322222222222223,0.9833333333333334,0.9955555555555555,0.954,0.003482269414383177,0.12186612178363296,0.250010045727328,0.002158332944055143
RE2-TT,1.0,10,90.0,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555555,0.0,0.0,0.0,0.0
