dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,cpu,0.05,2026,15,0.2,0.7333333333333333,0.9333333333333333,0.68,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2027,15,0.13333333333333333,0.7333333333333333,1.0,0.68,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2028,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2029,15,0.06666666666666667,0.6666666666666666,0.9333333333333333,0.6266666666666667,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2030,15,0.2,0.8,1.0,0.7200000000000001,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2031,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2032,15,0.2,0.8,1.0,0.7200000000000001,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2033,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2034,15,0.06666666666666667,0.7333333333333333,1.0,0.6666666666666666,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.05,2035,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.44306682301159006,0.9499860703974149
RE2-OB,cpu,0.1,2026,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2027,15,0.13333333333333333,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2029,15,0.06666666666666667,0.7333333333333333,1.0,0.6533333333333334,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2030,15,0.13333333333333333,0.8,1.0,0.7200000000000001,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2031,15,0.13333333333333333,0.7333333333333333,1.0,0.6933333333333334,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2033,15,0.2,0.8,1.0,0.7200000000000001,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2034,15,0.06666666666666667,0.8,1.0,0.68,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.1,2035,15,0.2,0.8,1.0,0.7200000000000001,0.41974464684208646,0.899966773818713
RE2-OB,cpu,0.15,2026,15,0.2,0.8,1.0,0.7200000000000001,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2027,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2029,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2030,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2031,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2032,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2033,15,0.2,0.8,1.0,0.7200000000000001,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2034,15,0.06666666666666667,0.8,1.0,0.68,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.15,2035,15,0.06666666666666667,0.7333333333333333,1.0,0.6533333333333334,0.3964251774754103,0.8499529573684252
RE2-OB,cpu,0.2,2026,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2027,15,0.06666666666666667,0.8,1.0,0.68,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2028,15,0.06666666666666667,0.8,1.0,0.68,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2029,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2030,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2031,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2032,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2033,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2034,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.2,2035,15,0.06666666666666667,0.8,1.0,0.68,0.37311115341700035,0.800040529186011
RE2-OB,cpu,0.25,2026,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2027,15,0.2,0.8,1.0,0.7200000000000001,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2029,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2030,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2031,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2033,15,0.06666666666666667,0.8,1.0,0.68,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2034,15,0.2,0.8,1.0,0.7066666666666667,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.25,2035,15,0.06666666666666667,0.8,1.0,0.68,0.34978905517851455,0.7500213178002959
RE2-OB,cpu,0.35,2026,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2027,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2029,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2030,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2031,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2033,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2034,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.35,2035,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.30314740964233483,0.6499882047713063
RE2-OB,cpu,0.5,2026,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2027,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
