dataset,service,fault,instance,budget,policy,avg5_case_policy,top1_case_policy,top3_case_policy,top5_case_policy,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
RE2-OB,checkoutservice,cpu,1,0.05,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9196878597927594
RE2-OB,checkoutservice,cpu,1,0.05,abnormality_topk,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9190277600102341
RE2-OB,checkoutservice,cpu,1,0.05,coverage_aware,1.0,1.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.909504925163106
RE2-OB,checkoutservice,cpu,1,0.05,early_window,1.0,1.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9529231162850198
RE2-OB,checkoutservice,cpu,1,0.05,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9104976333631828
RE2-OB,checkoutservice,cpu,1,0.05,late_window,1.0,1.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9505590379941153
RE2-OB,checkoutservice,cpu,1,0.05,latency_service_diversity,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9138237175386977
RE2-OB,checkoutservice,cpu,1,0.05,latency_topk,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9131738518613279
RE2-OB,checkoutservice,cpu,1,0.05,random,1.0,1.0,1.0,1.0,0.4734448662856189,0.9500209292591041,0.950358449533069
RE2-OB,checkoutservice,cpu,1,0.05,service_aware_abnormality,0.8,0.0,1.0,1.0,0.4734448662856189,0.9500209292591042,0.9190277600102341
RE2-OB,checkoutservice,cpu,1,0.1,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.8432135090188052
RE2-OB,checkoutservice,cpu,1,0.1,abnormality_topk,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.8425738774465907
RE2-OB,checkoutservice,cpu,1,0.1,coverage_aware,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.829827299475502
RE2-OB,checkoutservice,cpu,1,0.1,early_window,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.9048842266854292
RE2-OB,checkoutservice,cpu,1,0.1,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.825175898682359
RE2-OB,checkoutservice,cpu,1,0.1,late_window,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.8985953690674172
RE2-OB,checkoutservice,cpu,1,0.1,latency_service_diversity,0.8,0.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.8275502110784189
RE2-OB,checkoutservice,cpu,1,0.1,latency_topk,0.8,0.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.8267980043494947
RE2-OB,checkoutservice,cpu,1,0.1,random,1.0,1.0,1.0,1.0,0.448537694522091,0.9000418585182084,0.9007982602021236
