dataset,service,fault,instance,budget,policy,seed,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,full_anomalous_span_count,kept_anomalous_span_count,total_reduction,post_injection_trace_reduction,post_injection_span_reduction,top5_services
RE2-OB,checkoutservice,cpu,1,0.05,abnormality_service_diversity,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,15695,0.4734448662856189,0.9500209292591042,0.9196878597927594,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.05,abnormality_topk,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,15824,0.4734448662856189,0.9500209292591042,0.9190277600102341,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.05,coverage_aware,-1,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,17685,0.4734448662856189,0.9500209292591042,0.909504925163106,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.05,early_window,-1,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9200,0.4734448662856189,0.9500209292591042,0.9529231162850198,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,hybrid_abnormality_latency,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,17491,0.4734448662856189,0.9500209292591042,0.9104976333631828,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,late_window,-1,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9662,0.4734448662856189,0.9500209292591042,0.9505590379941153,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,latency_service_diversity,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,16841,0.4734448662856189,0.9500209292591042,0.9138237175386977,"['frontendservice', 'checkoutservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,latency_topk,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,16968,0.4734448662856189,0.9500209292591042,0.9131738518613279,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2026,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9863,0.4734448662856189,0.9500209292591042,0.9495305104259947,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2027,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9881,0.4734448662856189,0.9500209292591042,0.9494384034795957,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2028,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9989,0.4734448662856189,0.9500209292591042,0.9488857618012025,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2029,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9903,0.4734448662856189,0.9500209292591042,0.949325828322886,"['checkoutservice', 'frontendservice', 'currencyservice', 'paymentservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2030,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9554,0.4734448662856189,0.9500209292591042,0.9511116796725086,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2031,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9758,0.4734448662856189,0.9500209292591042,0.9500678009466548,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2032,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9599,0.4734448662856189,0.9500209292591042,0.9508814123065115,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2033,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9485,0.4734448662856189,0.9500209292591042,0.951464756300371,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2034,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9606,0.4734448662856189,0.9500209292591042,0.9508455929384675,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.05,random,2035,1.0,1.0,1.0,1.0,23969,11945,12621,597,195425,9374,0.4734448662856189,0.9500209292591042,0.9520327491364974,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.05,service_aware_abnormality,-1,0.0,1.0,1.0,0.8,23969,11945,12621,597,195425,15824,0.4734448662856189,0.9500209292591042,0.9190277600102341,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,abnormality_service_diversity,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,30640,0.448537694522091,0.9000418585182084,0.8432135090188052,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,abnormality_topk,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,30765,0.448537694522091,0.9000418585182084,0.8425738774465907,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.1,coverage_aware,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,33256,0.448537694522091,0.9000418585182084,0.829827299475502,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,early_window,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,18588,0.448537694522091,0.9000418585182084,0.9048842266854292,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,1,0.1,hybrid_abnormality_latency,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,34165,0.448537694522091,0.9000418585182084,0.825175898682359,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,late_window,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19817,0.448537694522091,0.9000418585182084,0.8985953690674172,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,latency_service_diversity,-1,0.0,1.0,1.0,0.8,23969,11945,13218,1194,195425,33701,0.448537694522091,0.9000418585182084,0.8275502110784189,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,latency_topk,-1,0.0,1.0,1.0,0.8,23969,11945,13218,1194,195425,33848,0.448537694522091,0.9000418585182084,0.8267980043494947,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2026,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19287,0.448537694522091,0.9000418585182084,0.9013074069336062,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2027,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19842,0.448537694522091,0.9000418585182084,0.8984674427529743,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2028,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19435,0.448537694522091,0.9000418585182084,0.9005500831521044,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2029,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19601,0.448537694522091,0.9000418585182084,0.8997006524242037,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2030,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19301,0.448537694522091,0.9000418585182084,0.9012357681975183,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2031,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19546,0.448537694522091,0.9000418585182084,0.899982090315978,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2032,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19357,0.448537694522091,0.9000418585182084,0.9009492132531662,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2033,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19317,0.448537694522091,0.9000418585182084,0.9011538953562748,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2034,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,19327,0.448537694522091,0.9000418585182084,0.9011027248304977,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.1,random,2035,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,18852,0.448537694522091,0.9000418585182084,0.9035333248049123,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.1,service_aware_abnormality,-1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,195425,30765,0.448537694522091,0.9000418585182084,0.8425738774465907,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.25,abnormality_service_diversity,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,80199,0.3737744586757895,0.7500209292591042,0.5896175003198159,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.25,abnormality_topk,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,80250,0.3737744586757895,0.7500209292591042,0.5893565306383524,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.25,coverage_aware,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,82428,0.3737744586757895,0.7500209292591042,0.5782115901240885,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,early_window,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,47216,0.3737744586757895,0.7500209292591042,0.7583932454905974,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,hybrid_abnormality_latency,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,82498,0.3737744586757895,0.7500209292591042,0.5778533964436485,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.25,late_window,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48832,0.3737744586757895,0.7500209292591042,0.7501240885250096,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,latency_service_diversity,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,82783,0.3737744586757895,0.7500209292591042,0.5763950364589996,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,latency_topk,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,82908,0.3737744586757895,0.7500209292591042,0.5757554048867852,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2026,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48226,0.3737744586757895,0.7500209292591042,0.7532250223871051,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2027,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48555,0.3737744586757895,0.7500209292591042,0.7515415120890367,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2028,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48887,0.3737744586757895,0.7500209292591042,0.7498426506332352,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2029,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48615,0.3737744586757895,0.7500209292591042,0.7512344889343738,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2030,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,49531,0.3737744586757895,0.7500209292591042,0.7465472687731867,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2031,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48370,0.3737744586757895,0.7500209292591042,0.752488166815914,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2032,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48885,0.3737744586757895,0.7500209292591042,0.7498528847383907,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2033,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,48598,0.3737744586757895,0.7500209292591042,0.751321478828195,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2034,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,49474,0.3737744586757895,0.7500209292591042,0.7468389407701164,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,random,2035,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,47530,0.3737744586757895,0.7500209292591042,0.7567864909811948,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,service_aware_abnormality,-1,1.0,1.0,1.0,1.0,23969,11945,15010,2986,195425,80250,0.3737744586757895,0.7500209292591042,0.5893565306383524,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,1,0.5,abnormality_service_diversity,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,150054,0.24919687930243228,0.5000418585182085,0.232165792503518,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,abnormality_topk,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,150097,0.24919687930243228,0.5000418585182085,0.23194575924267624,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,coverage_aware,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,151806,0.24919687930243228,0.5000418585182085,0.22320071638736083,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,early_window,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,96864,0.24919687930243228,0.5000418585182085,0.5043418191121913,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,hybrid_abnormality_latency,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,152844,0.24919687930243228,0.5000418585182085,0.21788921581169252,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,late_window,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,98538,0.24919687930243228,0.5000418585182085,0.49577587309709603,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,latency_service_diversity,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,151476,0.24919687930243228,0.5000418585182085,0.22488934373800695,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,latency_topk,-1,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,151583,0.24919687930243228,0.5000418585182085,0.22434181911219142,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,random,2026,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,96455,0.24919687930243228,0.5000418585182085,0.506434693616477,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,random,2027,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,98030,0.24919687930243228,0.5000418585182085,0.49837533580657545,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,random,2028,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,99001,0.24919687930243228,0.5000418585182085,0.4934066777536139,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,random,2029,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,97053,0.24919687930243228,0.5000418585182085,0.5033746961750032,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,random,2030,1.0,1.0,1.0,1.0,23969,11945,17996,5972,195425,97885,0.24919687930243228,0.5000418585182085,0.4991173084303441,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
