dataset,budget,policy,cases,delta_avg5,ci95_low,ci95_high,wins,losses,ties
RE2-OB,0.05,abnormality_service_diversity,90,-0.005333333333333319,-0.03911111111111108,0.029561111111111094,25,30,35
RE2-OB,0.05,abnormality_topk,90,-0.005333333333333318,-0.039111111111111097,0.02979444444444437,24,30,36
RE2-OB,0.05,coverage_aware,90,-0.06977777777777777,-0.09800555555555557,-0.04155555555555555,12,41,37
RE2-OB,0.05,early_window,90,0.016888888888888887,-0.006222222222222222,0.04022222222222222,33,15,42
RE2-OB,0.05,hybrid_abnormality_latency,90,-0.014222222222222216,-0.04422222222222221,0.015111111111111124,24,32,34
RE2-OB,0.05,late_window,90,-0.03422222222222222,-0.07667222222222222,0.008000000000000002,23,28,39
RE2-OB,0.05,latency_service_diversity,90,0.010222222222222233,-0.02244444444444444,0.044000000000000004,30,26,34
RE2-OB,0.05,latency_topk,90,0.008000000000000009,-0.023999999999999987,0.03977777777777778,30,26,34
RE2-OB,0.05,service_aware_abnormality,90,-0.007555555555555541,-0.0431111111111111,0.027777777777777794,24,30,36
RE2-OB,0.1,abnormality_service_diversity,90,-0.028222222222222208,-0.05867222222222221,0.0015555555555555704,22,29,39
RE2-OB,0.1,abnormality_topk,90,-0.021555555555555543,-0.053111111111111095,0.008672222222222208,22,29,39
RE2-OB,0.1,coverage_aware,90,-0.05266666666666666,-0.07911111111111109,-0.028888888888888884,11,34,45
RE2-OB,0.1,early_window,90,0.014000000000000005,-0.012666666666666666,0.03911111111111112,29,13,48
RE2-OB,0.1,hybrid_abnormality_latency,90,-0.0371111111111111,-0.06244999999999999,-0.01355555555555555,16,31,43
RE2-OB,0.1,late_window,90,-0.019333333333333327,-0.052005555555555555,0.010000000000000002,23,21,46
RE2-OB,0.1,latency_service_diversity,90,-0.02155555555555555,-0.047111111111111104,0.0015555555555555598,20,27,43
RE2-OB,0.1,latency_topk,90,-0.02377777777777777,-0.049333333333333326,-0.000444444444444435,20,27,43
RE2-OB,0.1,service_aware_abnormality,90,-0.030444444444444427,-0.06089444444444443,-0.002433333333333382,21,29,40
RE2-OB,0.25,abnormality_service_diversity,90,-0.01933333333333333,-0.040888888888888884,0.0006722222222221944,10,19,61
RE2-OB,0.25,abnormality_topk,90,-0.01933333333333333,-0.04178333333333334,0.0011111111111111115,10,19,61
RE2-OB,0.25,coverage_aware,90,-0.017111111111111108,-0.03889444444444445,0.0026722222222221965,13,16,61
RE2-OB,0.25,early_window,90,0.0006666666666666655,-0.013783333333333333,0.013783333333333304,16,10,64
RE2-OB,0.25,hybrid_abnormality_latency,90,-0.02155555555555555,-0.04400555555555556,-0.0006666666666666642,10,20,60
RE2-OB,0.25,late_window,90,-0.021555555555555553,-0.05333333333333333,0.00666666666666667,14,17,59
RE2-OB,0.25,latency_service_diversity,90,-0.0059999999999999975,-0.025555555555555554,0.012449999999999973,15,13,62
RE2-OB,0.25,latency_topk,90,-0.0059999999999999975,-0.025777777777777774,0.012222222222222223,15,13,62
RE2-OB,0.25,service_aware_abnormality,90,-0.01933333333333333,-0.04245,0.0020000000000000018,10,19,61
RE2-OB,0.5,abnormality_service_diversity,90,0.0024444444444444453,-0.005561111111111112,0.010672222222222192,10,9,71
RE2-OB,0.5,abnormality_topk,90,0.0024444444444444453,-0.005333333333333332,0.011111111111111112,10,9,71
RE2-OB,0.5,coverage_aware,90,0.00022222222222222397,-0.012450000000000001,0.012227777777777752,11,11,68
RE2-OB,0.5,early_window,90,-0.004222222222222224,-0.014672222222222225,0.00511111111111111,8,10,72
RE2-OB,0.5,hybrid_abnormality_latency,90,-0.008666666666666663,-0.029555555555555554,0.008444444444444447,9,12,69
RE2-OB,0.5,late_window,90,-0.026444444444444444,-0.058444444444444445,0.0006666666666666649,11,15,64
RE2-OB,0.5,latency_service_diversity,90,-0.00422222222222222,-0.025116666666666662,0.012666666666666668,11,9,70
RE2-OB,0.5,latency_topk,90,-0.00422222222222222,-0.023999999999999997,0.012000000000000004,11,9,70
RE2-OB,0.5,service_aware_abnormality,90,0.0024444444444444453,-0.005333333333333334,0.010666666666666668,10,9,71
RE2-OB,1.0,abnormality_service_diversity,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,abnormality_topk,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,coverage_aware,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,early_window,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,hybrid_abnormality_latency,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,late_window,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,latency_service_diversity,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,latency_topk,90,0.0,0.0,0.0,0,0,90
RE2-OB,1.0,service_aware_abnormality,90,0.0,0.0,0.0,0,0,90
RE2-TT,0.05,abnormality_service_diversity,90,-0.059111111111111114,-0.10422777777777778,-0.021333333333333343,8,19,63
RE2-TT,0.05,abnormality_topk,90,-0.168,-0.2406777777777778,-0.09509444444444455,7,29,54
RE2-TT,0.05,coverage_aware,90,-0.2657777777777778,-0.35267777777777776,-0.18021666666666666,7,35,48
RE2-TT,0.05,early_window,90,-0.016888888888888898,-0.054222222222222234,0.016666666666666663,15,12,63
RE2-TT,0.05,hybrid_abnormality_latency,90,-0.05466666666666667,-0.09822222222222222,-0.019772222222222254,9,18,63
RE2-TT,0.05,late_window,90,-0.016888888888888894,-0.054005555555555564,0.011999999999999995,19,9,62
RE2-TT,0.05,latency_service_diversity,90,-0.05244444444444445,-0.09088888888888888,-0.01755555555555556,9,18,63
RE2-TT,0.05,latency_topk,90,-0.048,-0.09133333333333332,-0.012666666666666668,10,17,63
RE2-TT,0.05,service_aware_abnormality,90,-0.059111111111111114,-0.10089444444444445,-0.020666666666666673,8,19,63
RE2-TT,0.1,abnormality_service_diversity,90,-0.048666666666666664,-0.09133888888888889,-0.014438888888888918,8,13,69
RE2-TT,0.1,abnormality_topk,90,-0.12866666666666668,-0.20112777777777774,-0.06621111111111118,7,20,63
RE2-TT,0.1,coverage_aware,90,-0.2597777777777778,-0.3495666666666667,-0.1768666666666668,5,31,54
RE2-TT,0.1,early_window,90,-0.030888888888888893,-0.07222777777777777,0.0011111111111111072,9,12,69
RE2-TT,0.1,hybrid_abnormality_latency,90,-0.050888888888888886,-0.08645,-0.019555555555555562,5,16,69
RE2-TT,0.1,late_window,90,-0.017555555555555557,-0.055338888888888896,0.011999999999999995,11,7,72
RE2-TT,0.1,latency_service_diversity,90,-0.030888888888888893,-0.06645555555555556,-0.00243888888888892,6,12,72
RE2-TT,0.1,latency_topk,90,-0.03311111111111112,-0.0706722222222222,-0.004883333333333362,6,13,71
RE2-TT,0.1,service_aware_abnormality,90,-0.04644444444444444,-0.08600000000000001,-0.011333333333333336,8,13,69
RE2-TT,0.25,abnormality_service_diversity,90,-0.029777777777777778,-0.05867222222222223,-0.007333333333333336,5,11,74
RE2-TT,0.25,abnormality_topk,90,-0.06977777777777777,-0.12267222222222222,-0.02443888888888892,6,13,71
RE2-TT,0.25,coverage_aware,90,-0.2608888888888889,-0.3502277777777778,-0.17577222222222222,4,29,57
RE2-TT,0.25,early_window,90,-0.023111111111111114,-0.050444444444444445,-0.00044444444444445206,6,9,75
RE2-TT,0.25,hybrid_abnormality_latency,90,-0.020888888888888894,-0.040005555555555565,-0.006222222222222225,5,11,74
RE2-TT,0.25,late_window,90,0.0013333333333333296,-0.03288888888888889,0.032672222222222186,9,5,76
RE2-TT,0.25,latency_service_diversity,90,-0.00977777777777778,-0.0391111111111111,0.011783333333333298,9,9,72
RE2-TT,0.25,latency_topk,90,-0.012,-0.041111111111111105,0.00956111111111108,8,10,72
RE2-TT,0.25,service_aware_abnormality,90,-0.027555555555555555,-0.05555555555555555,-0.0062222222222222245,5,11,74
RE2-TT,0.5,abnormality_service_diversity,90,-0.005333333333333334,-0.012666666666666668,0.0013388888888888585,4,6,80
RE2-TT,0.5,abnormality_topk,90,-0.005333333333333334,-0.013338888888888891,0.0011166666666666374,4,6,80
RE2-TT,0.5,coverage_aware,90,-0.19199999999999998,-0.27823888888888887,-0.11022222222222224,6,21,63
RE2-TT,0.5,early_window,90,-0.012,-0.023111111111111114,-0.0013333333333333355,3,9,78
