dataset,budget,policy,avg5,avg5_random,delta_vs_random
RE2-OB,0.05,random,0.6164444444444445,0.6164444444444445,0.0
RE2-OB,0.05,latency_topk,0.6244444444444445,0.6164444444444445,0.008000000000000007
RE2-OB,0.05,abnormality_topk,0.6111111111111112,0.6164444444444445,-0.005333333333333301
RE2-OB,0.05,service_aware_abnormality,0.6088888888888889,0.6164444444444445,-0.007555555555555538
RE2-OB,0.05,early_window,0.6333333333333333,0.6164444444444445,0.016888888888888842
RE2-OB,0.05,late_window,0.5822222222222222,0.6164444444444445,-0.034222222222222265
RE2-OB,0.05,latency_service_diversity,0.6266666666666667,0.6164444444444445,0.010222222222222244
RE2-OB,0.05,abnormality_service_diversity,0.6111111111111112,0.6164444444444445,-0.005333333333333301
RE2-OB,0.05,coverage_aware,0.5466666666666667,0.6164444444444445,-0.06977777777777772
RE2-OB,0.05,hybrid_abnormality_latency,0.6022222222222222,0.6164444444444445,-0.014222222222222247
RE2-OB,0.1,random,0.617111111111111,0.617111111111111,0.0
RE2-OB,0.1,latency_topk,0.5933333333333333,0.617111111111111,-0.023777777777777787
RE2-OB,0.1,abnormality_topk,0.5955555555555556,0.617111111111111,-0.02155555555555544
RE2-OB,0.1,service_aware_abnormality,0.5866666666666667,0.617111111111111,-0.030444444444444385
RE2-OB,0.1,early_window,0.6311111111111112,0.617111111111111,0.014000000000000123
RE2-OB,0.1,late_window,0.5977777777777779,0.617111111111111,-0.019333333333333202
RE2-OB,0.1,latency_service_diversity,0.5955555555555556,0.617111111111111,-0.02155555555555544
RE2-OB,0.1,abnormality_service_diversity,0.5888888888888889,0.617111111111111,-0.02822222222222215
RE2-OB,0.1,coverage_aware,0.5644444444444445,0.617111111111111,-0.05266666666666653
RE2-OB,0.1,hybrid_abnormality_latency,0.5800000000000001,0.617111111111111,-0.037111111111110984
RE2-OB,0.25,random,0.6215555555555556,0.6215555555555556,0.0
RE2-OB,0.25,latency_topk,0.6155555555555555,0.6215555555555556,-0.006000000000000116
RE2-OB,0.25,abnormality_topk,0.6022222222222222,0.6215555555555556,-0.019333333333333425
RE2-OB,0.25,service_aware_abnormality,0.6022222222222222,0.6215555555555556,-0.019333333333333425
RE2-OB,0.25,early_window,0.6222222222222222,0.6215555555555556,0.0006666666666665932
RE2-OB,0.25,late_window,0.6,0.6215555555555556,-0.02155555555555566
RE2-OB,0.25,latency_service_diversity,0.6155555555555555,0.6215555555555556,-0.006000000000000116
RE2-OB,0.25,abnormality_service_diversity,0.6022222222222222,0.6215555555555556,-0.019333333333333425
RE2-OB,0.25,coverage_aware,0.6044444444444445,0.6215555555555556,-0.017111111111111188
RE2-OB,0.25,hybrid_abnormality_latency,0.6,0.6215555555555556,-0.02155555555555566
RE2-OB,0.5,random,0.6264444444444445,0.6264444444444445,0.0
RE2-OB,0.5,latency_topk,0.6222222222222222,0.6264444444444445,-0.004222222222222238
RE2-OB,0.5,abnormality_topk,0.6288888888888889,0.6264444444444445,0.0024444444444444713
RE2-OB,0.5,service_aware_abnormality,0.6288888888888889,0.6264444444444445,0.0024444444444444713
RE2-OB,0.5,early_window,0.6222222222222222,0.6264444444444445,-0.004222222222222238
RE2-OB,0.5,late_window,0.6,0.6264444444444445,-0.026444444444444493
RE2-OB,0.5,latency_service_diversity,0.6222222222222222,0.6264444444444445,-0.004222222222222238
RE2-OB,0.5,abnormality_service_diversity,0.6288888888888889,0.6264444444444445,0.0024444444444444713
RE2-OB,0.5,coverage_aware,0.6266666666666667,0.6264444444444445,0.00022222222222223476
RE2-OB,0.5,hybrid_abnormality_latency,0.6177777777777778,0.6264444444444445,-0.008666666666666711
RE2-OB,1.0,random,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,latency_topk,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,abnormality_topk,0.6244444444444445,0.6244444444444445,0.0
RE2-OB,1.0,service_aware_abnormality,0.6244444444444445,0.6244444444444445,0.0
