dataset,service,fault,instance,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,top5_services
RE2-OB,checkoutservice,cpu,1,0.1,1.0,1.0,1.0,1.0,23969,11945,13218,1194,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.25,1.0,1.0,1.0,1.0,23969,11945,15010,2986,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,0.5,1.0,1.0,1.0,1.0,23969,11945,17996,5972,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,1,1.0,1.0,1.0,1.0,1.0,23969,11945,23969,11945,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,cpu,2,0.1,0.0,1.0,1.0,0.6,12257,657,11666,66,"['frontendservice', 'emailservice', 'checkoutservice', 'paymentservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,2,0.25,0.0,1.0,1.0,0.8,12257,657,11764,164,"['frontendservice', 'checkoutservice', 'recommendationservice', 'paymentservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,2,0.5,0.0,1.0,1.0,0.8,12257,657,11928,328,"['frontendservice', 'checkoutservice', 'recommendationservice', 'paymentservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,2,1.0,0.0,1.0,1.0,0.8,12257,657,12257,657,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'paymentservice']"
RE2-OB,checkoutservice,cpu,3,0.1,0.0,1.0,1.0,0.8,24721,12410,13552,1241,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'paymentservice', 'currencyservice']"
RE2-OB,checkoutservice,cpu,3,0.25,0.0,1.0,1.0,0.8,24721,12410,15413,3102,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,cpu,3,0.5,0.0,1.0,1.0,0.8,24721,12410,18516,6205,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,cpu,3,1.0,0.0,1.0,1.0,0.8,24721,12410,24721,12410,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,currencyservice,cpu,1,0.1,0.0,1.0,1.0,0.8,24408,11912,13687,1191,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,1,0.25,0.0,1.0,1.0,0.8,24408,11912,15474,2978,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'emailservice']"
RE2-OB,currencyservice,cpu,1,0.5,0.0,1.0,1.0,0.8,24408,11912,18452,5956,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,1,1.0,0.0,1.0,1.0,0.8,24408,11912,24408,11912,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,currencyservice,cpu,2,0.1,0.0,1.0,1.0,0.8,24351,12039,13516,1204,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,2,0.25,0.0,1.0,1.0,0.8,24351,12039,15322,3010,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,2,0.5,0.0,1.0,1.0,0.8,24351,12039,18332,6020,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,2,1.0,0.0,1.0,1.0,0.8,24351,12039,24351,12039,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,3,0.1,0.0,1.0,1.0,0.8,24583,11995,13788,1200,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,3,0.25,0.0,1.0,1.0,0.8,24583,11995,15587,2999,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,3,0.5,0.0,1.0,1.0,0.8,24583,11995,18586,5998,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,cpu,3,1.0,0.0,1.0,1.0,0.8,24583,11995,24583,11995,"['frontendservice', 'currencyservice', 'checkoutservice', 'productcatalogservice', 'recommendationservice']"
