dataset,service,fault,instance,budget_type,policy,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,full_anomalous_span_count,kept_trace_count,kept_anomalous_trace_count,kept_anomalous_span_count
RE2-OB,checkoutservice,cpu,2,trace_fraction,random,0.1,0.0,1.0,1.0,0.6,12257,657,10846,11666,66,1029
RE2-OB,checkoutservice,cpu,2,trace_fraction,random,0.25,0.0,1.0,1.0,0.8,12257,657,10846,11764,164,2744
RE2-OB,checkoutservice,cpu,2,trace_fraction,random,0.5,0.0,1.0,1.0,0.8,12257,657,10846,11928,328,5470
RE2-OB,checkoutservice,cpu,2,trace_fraction,random,1.0,0.0,1.0,1.0,0.8,12257,657,10846,12257,657,10846
RE2-OB,checkoutservice,cpu,2,trace_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,12257,657,10846,11666,66,1629
RE2-OB,checkoutservice,cpu,2,trace_fraction,abnormality_topk,0.25,0.0,1.0,1.0,0.8,12257,657,10846,11764,164,4206
RE2-OB,checkoutservice,cpu,2,trace_fraction,abnormality_topk,0.5,0.0,1.0,1.0,0.8,12257,657,10846,11928,328,8008
RE2-OB,checkoutservice,cpu,2,trace_fraction,abnormality_topk,1.0,0.0,1.0,1.0,0.8,12257,657,10846,12257,657,10846
RE2-OB,checkoutservice,cpu,2,trace_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,12257,657,10846,11666,66,1629
RE2-OB,checkoutservice,cpu,2,trace_fraction,service_aware_abnormality,0.25,0.0,1.0,1.0,0.8,12257,657,10846,11764,164,4206
RE2-OB,checkoutservice,cpu,2,trace_fraction,service_aware_abnormality,0.5,0.0,1.0,1.0,0.8,12257,657,10846,11928,328,8008
RE2-OB,checkoutservice,cpu,2,trace_fraction,service_aware_abnormality,1.0,0.0,1.0,1.0,0.8,12257,657,10846,12257,657,10846
RE2-OB,checkoutservice,cpu,2,span_fraction,random,0.1,0.0,1.0,1.0,0.6,12257,657,10846,11676,76,1085
RE2-OB,checkoutservice,cpu,2,span_fraction,random,0.25,0.0,1.0,1.0,0.8,12257,657,10846,11773,173,2712
RE2-OB,checkoutservice,cpu,2,span_fraction,random,0.5,0.0,1.0,1.0,0.8,12257,657,10846,11927,327,5423
RE2-OB,checkoutservice,cpu,2,span_fraction,random,1.0,0.0,1.0,1.0,0.8,12257,657,10846,12257,657,10846
RE2-OB,checkoutservice,cpu,2,span_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,12257,657,10846,11645,45,1085
RE2-OB,checkoutservice,cpu,2,span_fraction,abnormality_topk,0.25,0.0,1.0,1.0,0.8,12257,657,10846,11712,112,2712
