policy,dataset,budget,cases,top1,top3,top5,avg5,kept_anom_sum,full_anom_sum,kept_trace_sum,full_trace_sum,anom_reduction,total_reduction,full_top1,full_top3,full_top5,full_avg5,avg5_delta_vs_full,top3_delta_vs_full
latency_topk,RE2-OB,0.1,90,0.05555555555555555,0.6111111111111112,0.9555555555555556,0.5933333333333333,100640,1006430,1208832,2114622,0.9000029808332423,0.4283460590119652,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,-0.0311111111111112,-0.033333333333333326
latency_topk,RE2-OB,0.25,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.6155555555555556,251610,1006430,1359802,2114622,0.7499975159722981,0.35695268468785435,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,-0.008888888888888835,-0.022222222222222254
latency_topk,RE2-OB,0.5,90,0.13333333333333333,0.6222222222222222,0.9555555555555556,0.6222222222222222,503220,1006430,1611412,2114622,0.49999503194459627,0.23796688013271405,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,-0.0022222222222222365,-0.022222222222222254
latency_topk,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,1006430,1006430,2114622,2114622,0.0,0.0,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
latency_topk,RE2-TT,0.1,90,0.7777777777777778,0.9666666666666667,0.9666666666666667,0.9222222222222223,27865,278675,323135,573945,0.9000089710235938,0.4369930916725471,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,-0.033333333333333326,-0.022222222222222254
latency_topk,RE2-TT,0.25,90,0.8111111111111111,0.9777777777777777,0.9777777777777777,0.9444444444444444,69671,278675,364941,573945,0.7499919260787655,0.3641533596424744,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,-0.011111111111111183,-0.011111111111111183
latency_topk,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,139343,278675,434613,573945,0.4999802637480937,0.2427619371194104,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,-0.0022222222222223476,0.0
latency_topk,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,278675,278675,573945,573945,0.0,0.0,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0
random,RE2-OB,0.1,90,0.15555555555555556,0.6222222222222222,0.9333333333333333,0.6133333333333334,100640,1006430,1208832,2114622,0.9000029808332423,0.4283460590119652,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,-0.011111111111111072,-0.022222222222222254
random,RE2-OB,0.25,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6222222222222222,251610,1006430,1359802,2114622,0.7499975159722981,0.35695268468785435,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,-0.0022222222222222365,-0.011111111111111183
random,RE2-OB,0.5,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6266666666666667,503220,1006430,1611412,2114622,0.49999503194459627,0.23796688013271405,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0022222222222222365,0.0
random,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,1006430,1006430,2114622,2114622,0.0,0.0,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0
random,RE2-TT,0.1,90,0.8666666666666667,1.0,1.0,0.9733333333333333,27865,278675,323135,573945,0.9000089710235938,0.4369930916725471,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.01777777777777767,0.011111111111111072
random,RE2-TT,0.25,90,0.8666666666666667,1.0,1.0,0.9688888888888889,69671,278675,364941,573945,0.7499919260787655,0.3641533596424744,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.013333333333333308,0.011111111111111072
random,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,1.0,0.9600000000000001,139343,278675,434613,573945,0.4999802637480937,0.2427619371194104,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.004444444444444473,0.0
random,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,278675,278675,573945,573945,0.0,0.0,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0
