dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,checkoutservice,cpu,2,random,0.1,0.0,1.0,1.0,0.6,12257,11666,657,66
RE2-OB,checkoutservice,cpu,2,random,0.25,0.0,1.0,1.0,0.8,12257,11764,657,164
RE2-OB,checkoutservice,cpu,2,random,0.5,0.0,1.0,1.0,0.8,12257,11928,657,328
RE2-OB,checkoutservice,cpu,2,random,1.0,0.0,1.0,1.0,0.8,12257,12257,657,657
RE2-OB,checkoutservice,cpu,2,early_window,0.1,0.0,0.0,1.0,0.4,12257,11666,657,66
RE2-OB,checkoutservice,cpu,2,early_window,0.25,0.0,1.0,1.0,0.8,12257,11764,657,164
RE2-OB,checkoutservice,cpu,2,early_window,0.5,0.0,1.0,1.0,0.8,12257,11928,657,328
RE2-OB,checkoutservice,cpu,2,early_window,1.0,0.0,1.0,1.0,0.8,12257,12257,657,657
RE2-OB,checkoutservice,cpu,2,late_window,0.1,1.0,1.0,1.0,1.0,12257,11666,657,66
RE2-OB,checkoutservice,cpu,2,late_window,0.25,0.0,1.0,1.0,0.8,12257,11764,657,164
RE2-OB,checkoutservice,cpu,2,late_window,0.5,0.0,1.0,1.0,0.8,12257,11928,657,328
RE2-OB,checkoutservice,cpu,2,late_window,1.0,0.0,1.0,1.0,0.8,12257,12257,657,657
RE2-OB,checkoutservice,cpu,1,random,0.1,1.0,1.0,1.0,1.0,23969,13218,11945,1194
RE2-OB,checkoutservice,cpu,1,random,0.25,1.0,1.0,1.0,1.0,23969,15010,11945,2986
RE2-OB,checkoutservice,cpu,1,random,0.5,1.0,1.0,1.0,1.0,23969,17996,11945,5972
RE2-OB,checkoutservice,cpu,1,random,1.0,1.0,1.0,1.0,1.0,23969,23969,11945,11945
RE2-OB,checkoutservice,cpu,1,early_window,0.1,1.0,1.0,1.0,1.0,23969,13218,11945,1194
RE2-OB,checkoutservice,cpu,1,early_window,0.25,1.0,1.0,1.0,1.0,23969,15010,11945,2986
RE2-OB,checkoutservice,cpu,1,early_window,0.5,1.0,1.0,1.0,1.0,23969,17996,11945,5972
RE2-OB,checkoutservice,cpu,1,early_window,1.0,1.0,1.0,1.0,1.0,23969,23969,11945,11945
RE2-OB,checkoutservice,cpu,1,late_window,0.1,1.0,1.0,1.0,1.0,23969,13218,11945,1194
RE2-OB,checkoutservice,cpu,1,late_window,0.25,1.0,1.0,1.0,1.0,23969,15010,11945,2986
RE2-OB,checkoutservice,cpu,1,late_window,0.5,1.0,1.0,1.0,1.0,23969,17996,11945,5972
RE2-OB,checkoutservice,cpu,1,late_window,1.0,1.0,1.0,1.0,1.0,23969,23969,11945,11945
RE2-OB,checkoutservice,delay,1,random,0.1,1.0,1.0,1.0,1.0,24812,13759,12281,1228
RE2-OB,checkoutservice,delay,1,random,0.25,1.0,1.0,1.0,1.0,24812,15601,12281,3070
RE2-OB,checkoutservice,delay,1,random,0.5,1.0,1.0,1.0,1.0,24812,18671,12281,6140
RE2-OB,checkoutservice,delay,1,random,1.0,1.0,1.0,1.0,1.0,24812,24812,12281,12281
RE2-OB,checkoutservice,delay,1,early_window,0.1,1.0,1.0,1.0,1.0,24812,13759,12281,1228
RE2-OB,checkoutservice,delay,1,early_window,0.25,1.0,1.0,1.0,1.0,24812,15601,12281,3070
RE2-OB,checkoutservice,delay,1,early_window,0.5,1.0,1.0,1.0,1.0,24812,18671,12281,6140
RE2-OB,checkoutservice,delay,1,early_window,1.0,1.0,1.0,1.0,1.0,24812,24812,12281,12281
RE2-OB,checkoutservice,delay,1,late_window,0.1,1.0,1.0,1.0,1.0,24812,13759,12281,1228
RE2-OB,checkoutservice,delay,1,late_window,0.25,1.0,1.0,1.0,1.0,24812,15601,12281,3070
