service_family,policy,avg_at_5,top3
cache,adaptive_full_context,1.0,1
cache,adaptive_no_alerted_service,0.9017241379310345,1
cache,adaptive_no_fault_type,1.0,1
cache,adaptive_no_time_window,1.0,1
database,adaptive_full_context,1.0,1
database,adaptive_no_alerted_service,0.0,0
database,adaptive_no_fault_type,1.0,1
database,adaptive_no_time_window,1.0,1
logging,adaptive_full_context,1.0,1
logging,adaptive_no_alerted_service,0.5029850746268657,0.5149253731343284
logging,adaptive_no_fault_type,1.0,1
logging,adaptive_no_time_window,1.0,1
mobile,adaptive_full_context,1.0,1
mobile,adaptive_no_alerted_service,0.0,0
mobile,adaptive_no_fault_type,1.0,1
mobile,adaptive_no_time_window,1.0,1
web,adaptive_full_context,1.0,1
web,adaptive_no_alerted_service,0.09883720930232559,0
web,adaptive_no_fault_type,1.0,1
web,adaptive_no_time_window,1.0,1
