fault_type,policy,avg_at_5,top3
cpu,adaptive_full_context,1.0,1
cpu,adaptive_no_alerted_service,0.05333333333333333,0.06666666666666667
cpu,adaptive_no_fault_type,1.0,1
cpu,adaptive_no_time_window,1.0,1
errno111,adaptive_full_context,1.0,1
errno111,adaptive_no_alerted_service,0.3,0.3
errno111,adaptive_no_fault_type,1.0,1
errno111,adaptive_no_time_window,1.0,1
file_move,adaptive_full_context,1.0,1
file_move,adaptive_no_alerted_service,0.10232558139534885,0
file_move,adaptive_no_fault_type,1.0,1
file_move,adaptive_no_time_window,1.0,1
memory,adaptive_full_context,1.0,1
memory,adaptive_no_alerted_service,0.27269938650306746,0.27300613496932513
memory,adaptive_no_fault_type,1.0,1
memory,adaptive_no_time_window,1.0,1
qr_expired,adaptive_full_context,1.0,1
qr_expired,adaptive_no_alerted_service,0.0,0
qr_expired,adaptive_no_fault_type,1.0,1
qr_expired,adaptive_no_time_window,1.0,1
