case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept,combined_reduction
webservice2_memory_1625138212,webservice2,memory,web,0.1,anchored_service_random_rest,1,1,1,1,1.0,0.0,0.0,16.0,384.0,2,1,0.9818181818181818
webservice2_memory_1625138212,webservice2,memory,web,0.25,anchored_service_random_rest,2,0,1,1,0.8,0.0,0.0,72.0,1728.0,3,3,0.9181818181818182
webservice2_memory_1625138212,webservice2,memory,web,0.5,anchored_service_random_rest,5,0,0,1,0.2,0.0,0.0,240.0,5760.0,6,5,0.7272727272727273
dbservice1_memory_1625140467,dbservice1,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,0.0,0.0,16.0,384.0,2,1,0.9818181818181818
dbservice1_memory_1625140467,dbservice1,memory,database,0.25,anchored_service_random_rest,1,1,1,1,1.0,0.0,0.0,72.0,1728.0,3,3,0.9181818181818182
dbservice1_memory_1625140467,dbservice1,memory,database,0.5,anchored_service_random_rest,2,0,1,1,0.8,0.0,0.0,240.0,5760.0,6,5,0.7272727272727273
dbservice2_memory_1625144096,dbservice2,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,0.0,0.0,16.0,384.0,2,1,0.9818181818181818
dbservice2_memory_1625144096,dbservice2,memory,database,0.25,anchored_service_random_rest,2,0,1,1,0.8,0.0,0.0,72.0,1728.0,3,3,0.9181818181818182
dbservice2_memory_1625144096,dbservice2,memory,database,0.5,anchored_service_random_rest,3,0,1,1,0.6,0.0,0.0,240.0,5760.0,6,5,0.7272727272727273
redisservice1_memory_1625145523,redisservice1,memory,cache,0.1,anchored_service_random_rest,1,1,1,1,1.0,0.0,0.0,16.0,384.0,2,1,0.9818181818181818
redisservice1_memory_1625145523,redisservice1,memory,cache,0.25,anchored_service_random_rest,2,0,1,1,0.8,0.0,0.0,72.0,1728.0,3,3,0.9181818181818182
redisservice1_memory_1625145523,redisservice1,memory,cache,0.5,anchored_service_random_rest,2,0,1,1,0.8,0.0,0.0,240.0,5760.0,6,5,0.7272727272727273
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,34.0,6120.0,8.0,192.0,1,1,0.9751711116355912
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,99.0,17820.0,24.0,576.0,1,3,0.9276374793485958
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,0.5,anchored_service_random_rest,3,0,1,1,0.6,231.0,41580.0,40.0,960.0,1,5,0.8326646211942412
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,0.1,anchored_service_random_rest,1,1,1,1,1.0,35.0,6300.0,8.0,192.0,1,1,0.9499537465309899
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,0.25,anchored_service_random_rest,2,0,1,1,0.8,108.0,19440.0,24.0,576.0,1,3,0.8456984273820536
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,0.5,anchored_service_random_rest,2,0,1,1,0.8,245.0,44100.0,40.0,960.0,1,5,0.65263644773358
dbservice2_memory_1625152223,dbservice2,memory,database,0.1,anchored_service_random_rest,1,1,1,1,1.0,85.0,15300.0,16.0,384.0,2,1,0.9898367029548989
dbservice2_memory_1625152223,dbservice2,memory,database,0.25,anchored_service_random_rest,2,0,1,1,0.8,395.0,71100.0,72.0,1728.0,3,3,0.9528071539657854
dbservice2_memory_1625152223,dbservice2,memory,database,0.5,anchored_service_random_rest,2,0,1,1,0.8,1747.0,314460.0,240.0,5760.0,6,5,0.7924961119751166
webservice2_memory_1625154530,webservice2,memory,web,0.1,anchored_service_random_rest,1,1,1,1,1.0,62.0,11160.0,16.0,384.0,2,1,0.9917111838704119
webservice2_memory_1625154530,webservice2,memory,web,0.25,anchored_service_random_rest,3,0,1,1,0.6,397.0,71460.0,72.0,1728.0,3,3,0.9474495950370498
