case_id,root_service,fault_type,service_family,rank,top1,top3,top5,avg_at_5,top5_services,root_service_score
webservice2_memory_1625138212,webservice2,memory,web,9,0,0,0,0.0,"['mobservice2', 'dbservice2', 'logservice1', 'logservice2', 'redisservice2']",2.219386660607441
dbservice1_memory_1625140467,dbservice1,memory,database,10,0,0,0,0.0,"['webservice1', 'webservice2', 'mobservice1', 'mobservice2', 'redisservice1']",2.7634854771771957
dbservice2_memory_1625144096,dbservice2,memory,database,6,0,0,0,0.0,"['redisservice1', 'logservice1', 'dbservice1', 'mobservice2', 'mobservice1']",1.694689645163497
redisservice1_memory_1625145523,redisservice1,memory,cache,1,1,1,1,1.0,"['redisservice1', 'mobservice1', 'dbservice1', 'logservice2', 'logservice1']",1145.1956521736229
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'logservice2', 'mobservice2', 'logservice1', 'webservice1']",114.64259298605171
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,2,0,1,1,0.8,"['webservice2', 'mobservice2', 'dbservice2', 'logservice2', 'logservice1']",315.62731688311686
dbservice2_memory_1625152223,dbservice2,memory,database,6,0,0,0,0.0,"['webservice1', 'webservice2', 'logservice1', 'logservice2', 'dbservice1']",585.5013243243243
webservice2_memory_1625154530,webservice2,memory,web,4,0,0,1,0.4,"['dbservice2', 'logservice2', 'logservice1', 'webservice2', 'redisservice2']",5.040996293000243
redisservice2_memory_1625155035,redisservice2,memory,cache,9,0,0,0,0.0,"['mobservice1', 'dbservice1', 'webservice1', 'logservice1', 'webservice2']",3.2203389830518883
redisservice1_memory_1625157279,redisservice1,memory,cache,4,0,0,1,0.4,"['mobservice2', 'mobservice1', 'webservice1', 'redisservice1', 'webservice2']",4.460536640511675
mobservice2_memory_1625157918,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'mobservice1', 'dbservice1', 'dbservice2', 'webservice1']",102.15261383856941
redisservice2_memory_1625165701,redisservice2,memory,cache,10,0,0,0,0.0,"['mobservice2', 'mobservice1', 'webservice2', 'dbservice2', 'redisservice1']",2.7905138339920947
mobservice2_memory_1625168598,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'mobservice1', 'redisservice1', 'redisservice2', 'webservice1']",530.2558139534017
logservice2_memory_1625172320,logservice2,memory,logging,8,0,0,0,0.0,"['mobservice1', 'webservice1', 'redisservice1', 'dbservice2', 'redisservice2']",3.0321361058596734
redisservice1_memory_1625174903,redisservice1,memory,cache,10,0,0,0,0.0,"['logservice2', 'dbservice2', 'webservice2', 'redisservice2', 'mobservice1']",1.3593025840103476
redisservice2_memory_1625175011,redisservice2,memory,cache,8,0,0,0,0.0,"['logservice2', 'mobservice1', 'dbservice2', 'mobservice2', 'logservice1']",3.1549295774647885
dbservice1_memory_1625178785,dbservice1,memory,database,3,0,1,1,0.6,"['logservice1', 'webservice1', 'dbservice1', 'mobservice2', 'mobservice1']",3.955947136563376
redisservice2_memory_1625179202,redisservice2,memory,cache,7,0,0,0,0.0,"['mobservice1', 'webservice2', 'webservice1', 'logservice1', 'redisservice1']",3.6697674418599235
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,8,0,0,0,0.0,"['webservice1', 'dbservice1', 'webservice2', 'logservice2', 'redisservice2']",3.9032258064219585
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'dbservice1', 'mobservice2']",263.2954723809524
dbservice1_memory_1625188889,dbservice1,memory,database,6,0,0,0,0.0,"['webservice2', 'webservice1', 'mobservice1', 'mobservice2', 'dbservice2']",6.2123515007863865
dbservice2_memory_1625193002,dbservice2,memory,database,8,0,0,0,0.0,"['logservice2', 'mobservice2', 'webservice1', 'redisservice1', 'logservice1']",2.9372965253549492
mobservice1_memory_1625197067,mobservice1,memory,mobile,1,1,1,1,1.0,"['mobservice1', 'mobservice2', 'redisservice2', 'dbservice1', 'redisservice1']",105.68242277595111
mobservice2_memory_1625200044,mobservice2,memory,mobile,5,0,0,1,0.2,"['dbservice1', 'redisservice2', 'mobservice1', 'webservice1', 'mobservice2']",2.7725631768945034
logservice2_memory_1625204004,logservice2,memory,logging,6,0,0,0,0.0,"['mobservice2', 'webservice1', 'dbservice2', 'redisservice2', 'redisservice1']",3.704485488129232
mobservice2_memory_1625205092,mobservice2,memory,mobile,2,0,1,1,0.8,"['mobservice1', 'mobservice2', 'webservice2', 'dbservice1', 'redisservice2']",40.57249307614188
logservice1_memory_1625207751,logservice1,memory,logging,10,0,0,0,0.0,"['mobservice2', 'webservice1', 'redisservice1', 'dbservice2', 'redisservice2']",1.5454808014706447
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'mobservice2', 'webservice1', 'logservice2', 'redisservice2']",568.0909997939384
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'webservice2', 'logservice1', 'dbservice1']",300.512716374269
webservice2_memory_1625212312,webservice2,memory,web,9,0,0,0,0.0,"['dbservice2', 'logservice2', 'dbservice1', 'redisservice2', 'logservice1']",1.0
logservice2_memory_1625221783,logservice2,memory,logging,2,0,1,1,0.8,"['dbservice1', 'logservice2', 'dbservice2', 'webservice2', 'mobservice2']",3.6059850374070646
