case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept
webservice2_memory_1625138212,webservice2,memory,web,1.0,full,9,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10
dbservice1_memory_1625140467,dbservice1,memory,database,1.0,full,9,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10
dbservice2_memory_1625144096,dbservice2,memory,database,1.0,full,10,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10
redisservice1_memory_1625145523,redisservice1,memory,cache,1.0,full,1,1,1,1,1.0,0.0,0.0,880.0,21120.0,11,10
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1391.0,250380.0,160.0,3840.0,2,10
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,710.0,127800.0,80.0,1920.0,1,10
dbservice2_memory_1625152223,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,8456.0,1522080.0,880.0,21120.0,11,10
webservice2_memory_1625154530,webservice2,memory,web,1.0,full,9,0,0,0,0.0,7620.0,1371600.0,880.0,21120.0,11,10
redisservice2_memory_1625155035,redisservice2,memory,cache,1.0,full,4,0,0,1,0.4,7794.0,1402920.0,880.0,21120.0,11,10
redisservice1_memory_1625157279,redisservice1,memory,cache,1.0,full,5,0,0,1,0.2,8333.0,1499940.0,880.0,21120.0,11,10
mobservice2_memory_1625157918,mobservice2,memory,mobile,1.0,full,8,0,0,0,0.0,8381.0,1508580.0,880.0,21120.0,11,10
redisservice2_memory_1625165701,redisservice2,memory,cache,1.0,full,9,0,0,0,0.0,7902.0,1422360.0,880.0,21120.0,11,10
mobservice2_memory_1625168598,mobservice2,memory,mobile,1.0,full,1,1,1,1,1.0,8374.0,1507320.0,880.0,21120.0,11,10
logservice2_memory_1625172320,logservice2,memory,logging,1.0,full,3,0,1,1,0.6,9514.0,1712520.0,880.0,21120.0,11,10
redisservice1_memory_1625174903,redisservice1,memory,cache,1.0,full,9,0,0,0,0.0,9274.0,1669320.0,880.0,21120.0,11,10
redisservice2_memory_1625175011,redisservice2,memory,cache,1.0,full,5,0,0,1,0.2,9143.0,1645740.0,880.0,21120.0,11,10
dbservice1_memory_1625178785,dbservice1,memory,database,1.0,full,3,0,1,1,0.6,8586.0,1545480.0,880.0,21120.0,11,10
redisservice2_memory_1625179202,redisservice2,memory,cache,1.0,full,4,0,0,1,0.4,8039.0,1447020.0,880.0,21120.0,11,10
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,1.0,full,2,0,1,1,0.8,1410.0,253800.0,160.0,3840.0,2,10
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,1.0,full,7,0,0,0,0.0,811.0,145980.0,80.0,1920.0,1,10
dbservice1_memory_1625188889,dbservice1,memory,database,1.0,full,10,0,0,0,0.0,8992.0,1618560.0,880.0,21120.0,11,10
dbservice2_memory_1625193002,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,8519.0,1533420.0,880.0,21120.0,11,10
mobservice1_memory_1625197067,mobservice1,memory,mobile,1.0,full,4,0,0,1,0.4,8951.0,1611180.0,704.0,16896.0,11,10
mobservice2_memory_1625200044,mobservice2,memory,mobile,1.0,full,4,0,0,1,0.4,9281.0,1670580.0,440.0,10560.0,11,10
logservice2_memory_1625204004,logservice2,memory,logging,1.0,full,2,0,1,1,0.8,8906.0,1603080.0,440.0,10560.0,11,10
mobservice2_memory_1625205092,mobservice2,memory,mobile,1.0,full,5,0,0,1,0.2,8506.0,1531080.0,440.0,10560.0,11,10
logservice1_memory_1625207751,logservice1,memory,logging,1.0,full,8,0,0,0,0.0,8400.0,1512000.0,440.0,10560.0,11,10
mobservice1_qr_expired_1625210087,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1504.0,270720.0,80.0,1920.0,2,10
mobservice2_qr_expired_1625210422,mobservice2,qr_expired,mobile,1.0,full,5,0,0,1,0.2,737.0,132660.0,40.0,960.0,1,10
webservice2_memory_1625212312,webservice2,memory,web,1.0,full,8,0,0,0,0.0,8531.0,1535580.0,440.0,10560.0,11,10
logservice2_memory_1625221783,logservice2,memory,logging,1.0,full,2,0,1,1,0.8,7762.0,1397160.0,440.0,10560.0,11,10
webservice1_memory_1625222072,webservice1,memory,web,1.0,full,7,0,0,0,0.0,7320.0,1317600.0,440.0,10560.0,11,10
mobservice1_memory_1625224444,mobservice1,memory,mobile,1.0,full,9,0,0,0,0.0,7278.0,1310040.0,440.0,10560.0,11,10
