case_id,root_service,fault_type,service_family,budget,policy,rank,top1,top3,top5,avg_at_5,trace_rows_kept,trace_bytes_kept,metric_samples_kept,metric_bytes_kept,minutes_kept,services_kept,full_trace_rows,full_trace_bytes,full_metric_samples,full_metric_bytes,full_minutes,full_services,combined_bytes_kept,full_combined_bytes,combined_reduction,trace_row_reduction,metric_sample_reduction,time_reduction,where_reduction
webservice2_memory_1625138212,webservice2,memory,web,1.0,full,9,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10,0.0,0.0,880.0,21120.0,11,10,21120.0,21120.0,0.0,,0.0,0.0,0.0
dbservice1_memory_1625140467,dbservice1,memory,database,1.0,full,9,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10,0.0,0.0,880.0,21120.0,11,10,21120.0,21120.0,0.0,,0.0,0.0,0.0
dbservice2_memory_1625144096,dbservice2,memory,database,1.0,full,10,0,0,0,0.0,0.0,0.0,880.0,21120.0,11,10,0.0,0.0,880.0,21120.0,11,10,21120.0,21120.0,0.0,,0.0,0.0,0.0
redisservice1_memory_1625145523,redisservice1,memory,cache,1.0,full,1,1,1,1,1.0,0.0,0.0,880.0,21120.0,11,10,0.0,0.0,880.0,21120.0,11,10,21120.0,21120.0,0.0,,0.0,0.0,0.0
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,1.0,full,3,0,1,1,0.6,1391.0,250380.0,160.0,3840.0,2,10,1391.0,250380.0,160.0,3840.0,2,10,254220.0,254220.0,0.0,0.0,0.0,0.0,0.0
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,1.0,full,3,0,1,1,0.6,710.0,127800.0,80.0,1920.0,1,10,710.0,127800.0,80.0,1920.0,1,10,129720.0,129720.0,0.0,0.0,0.0,0.0,0.0
dbservice2_memory_1625152223,dbservice2,memory,database,1.0,full,2,0,1,1,0.8,8456.0,1522080.0,880.0,21120.0,11,10,8456.0,1522080.0,880.0,21120.0,11,10,1543200.0,1543200.0,0.0,0.0,0.0,0.0,0.0
webservice2_memory_1625154530,webservice2,memory,web,1.0,full,9,0,0,0,0.0,7620.0,1371600.0,880.0,21120.0,11,10,7620.0,1371600.0,880.0,21120.0,11,10,1392720.0,1392720.0,0.0,0.0,0.0,0.0,0.0
redisservice2_memory_1625155035,redisservice2,memory,cache,1.0,full,4,0,0,1,0.4,7794.0,1402920.0,880.0,21120.0,11,10,7794.0,1402920.0,880.0,21120.0,11,10,1424040.0,1424040.0,0.0,0.0,0.0,0.0,0.0
redisservice1_memory_1625157279,redisservice1,memory,cache,1.0,full,5,0,0,1,0.2,8333.0,1499940.0,880.0,21120.0,11,10,8333.0,1499940.0,880.0,21120.0,11,10,1521060.0,1521060.0,0.0,0.0,0.0,0.0,0.0
