case_id,budget,fold,model,rank,top1,top3,top5,avg_at_5
dbservice1_cpu_1627475651,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice1_cpu_1627509699,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice1_errno111_1626750606,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1625578885,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1625637896,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice1_memory_1625679820,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice1_memory_1625768540,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice1_memory_1626178789,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice1_memory_1626266259,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1626343595,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1626473914,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1626773615,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1627104046,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice1_memory_1627288593,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice1_memory_1627400139,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice2_memory_1625656892,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice2_memory_1625704892,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice2_memory_1625720058,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1625780540,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1626043439,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice2_memory_1626334718,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice2_memory_1626415344,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1626419131,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice2_memory_1626818990,0.25,1,deterministic_formula,2,0,1,1,0.8
dbservice2_memory_1626962039,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice2_memory_1626969117,0.25,1,deterministic_formula,1,1,1,1,1.0
dbservice2_memory_1627079656,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1627379165,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1627402075,0.25,1,deterministic_formula,3,0,1,1,0.6
dbservice2_memory_1627501550,0.25,1,deterministic_formula,1,1,1,1,1.0
logservice1_cpu_1627596597,0.25,1,deterministic_formula,3,0,1,1,0.6
logservice1_memory_1625298536,0.25,1,deterministic_formula,2,0,1,1,0.8
logservice1_memory_1625360381,0.25,1,deterministic_formula,1,1,1,1,1.0
logservice1_memory_1625874131,0.25,1,deterministic_formula,1,1,1,1,1.0
logservice1_memory_1626018993,0.25,1,deterministic_formula,2,0,1,1,0.8
logservice1_memory_1626102559,0.25,1,deterministic_formula,1,1,1,1,1.0
logservice1_memory_1626139037,0.25,1,deterministic_formula,1,1,1,1,1.0
logservice1_memory_1626218997,0.25,1,deterministic_formula,2,0,1,1,0.8
logservice1_memory_1626336834,0.25,1,deterministic_formula,3,0,1,1,0.6
logservice1_memory_1626541123,0.25,1,deterministic_formula,2,0,1,1,0.8
logservice1_memory_1626571662,0.25,1,deterministic_formula,3,0,1,1,0.6
logservice1_memory_1626608283,0.25,1,deterministic_formula,1,1,1,1,1.0
