case_id,root_service,fault_type,service_family,rank,top1,top3,top5,avg_at_5,top5_services,root_service_prob
webservice2_memory_1625138212,webservice2,memory,web,8,0,0,0,0.0,"['mobservice2', 'dbservice2', 'logservice1', 'logservice2', 'mobservice1']",0.901976980970821
dbservice1_memory_1625140467,dbservice1,memory,database,9,0,0,0,0.0,"['webservice1', 'webservice2', 'mobservice1', 'redisservice2', 'logservice1']",0.9406704559725383
dbservice2_memory_1625144096,dbservice2,memory,database,5,0,0,1,0.2,"['redisservice1', 'logservice1', 'dbservice1', 'mobservice1', 'dbservice2']",0.8448398987259457
redisservice1_memory_1625145523,redisservice1,memory,cache,7,0,0,0,0.0,"['dbservice1', 'mobservice1', 'redisservice2', 'dbservice2', 'webservice1']",1.0
mobservice1_qr_expired_1625151823,mobservice1,qr_expired,mobile,2,0,1,1,0.8,"['logservice2', 'mobservice1', 'mobservice2', 'logservice1', 'webservice1']",1.0
mobservice2_qr_expired_1625152105,mobservice2,qr_expired,mobile,5,0,0,1,0.2,"['dbservice1', 'dbservice2', 'logservice1', 'logservice2', 'mobservice2']",1.0
dbservice2_memory_1625152223,dbservice2,memory,database,2,0,1,1,0.8,"['dbservice1', 'dbservice2', 'logservice1', 'logservice2', 'mobservice1']",1.0
webservice2_memory_1625154530,webservice2,memory,web,9,0,0,0,0.0,"['dbservice2', 'logservice2', 'redisservice2', 'webservice1', 'redisservice1']",0.9935742554491632
redisservice2_memory_1625155035,redisservice2,memory,cache,7,0,0,0,0.0,"['dbservice1', 'webservice1', 'mobservice1', 'logservice2', 'mobservice2']",0.9615925358917738
redisservice1_memory_1625157279,redisservice1,memory,cache,2,0,1,1,0.8,"['mobservice1', 'redisservice1', 'webservice2', 'redisservice2', 'logservice1']",0.9885758590821719
mobservice2_memory_1625157918,mobservice2,memory,mobile,1,1,1,1,1.0,"['mobservice2', 'webservice1', 'dbservice1', 'dbservice2', 'redisservice2']",1.0
redisservice2_memory_1625165701,redisservice2,memory,cache,9,0,0,0,0.0,"['mobservice1', 'webservice2', 'dbservice2', 'webservice1', 'logservice1']",0.9421610517523943
mobservice2_memory_1625168598,mobservice2,memory,mobile,10,0,0,0,0.0,"['redisservice1', 'redisservice2', 'webservice1', 'webservice2', 'dbservice1']",1.0
logservice2_memory_1625172320,logservice2,memory,logging,6,0,0,0,0.0,"['mobservice1', 'webservice1', 'redisservice1', 'webservice2', 'dbservice1']",0.9540049950970886
redisservice1_memory_1625174903,redisservice1,memory,cache,9,0,0,0,0.0,"['logservice2', 'dbservice2', 'webservice2', 'logservice1', 'dbservice1']",0.7956463259641315
redisservice2_memory_1625175011,redisservice2,memory,cache,6,0,0,0,0.0,"['logservice2', 'mobservice2', 'mobservice1', 'dbservice1', 'webservice2']",0.9591025220683165
dbservice1_memory_1625178785,dbservice1,memory,database,8,0,0,0,0.0,"['logservice1', 'webservice1', 'mobservice1', 'redisservice1', 'logservice2']",0.9812189480473318
redisservice2_memory_1625179202,redisservice2,memory,cache,6,0,0,0,0.0,"['webservice2', 'webservice1', 'mobservice1', 'redisservice1', 'dbservice1']",0.9751508212032415
mobservice2_qr_expired_1625179967,mobservice2,qr_expired,mobile,7,0,0,0,0.0,"['webservice1', 'dbservice1', 'logservice2', 'redisservice2', 'redisservice1']",0.9802223283840124
mobservice1_qr_expired_1625182698,mobservice1,qr_expired,mobile,1,1,1,1,1.0,"['mobservice1', 'webservice1', 'webservice2', 'dbservice1', 'mobservice2']",1.0
dbservice1_memory_1625188889,dbservice1,memory,database,3,0,1,1,0.6,"['webservice1', 'webservice2', 'dbservice1', 'logservice1', 'redisservice2']",0.9979994917640139
dbservice2_memory_1625193002,dbservice2,memory,database,7,0,0,0,0.0,"['logservice2', 'mobservice2', 'webservice1', 'mobservice1', 'dbservice1']",0.9496596409414095
mobservice1_memory_1625197067,mobservice1,memory,mobile,6,0,0,0,0.0,"['dbservice1', 'webservice2', 'webservice1', 'dbservice2', 'logservice1']",1.0
mobservice2_memory_1625200044,mobservice2,memory,mobile,4,0,0,1,0.4,"['redisservice2', 'dbservice1', 'webservice1', 'mobservice2', 'dbservice2']",0.9411750562971253
