case_id,root_service,fault_type,service_family,budget,policy,avg_at_5,top1,top3,top5
dbservice1_cpu_1627429585,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_cpu_1627464819,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_cpu_1627475651,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_cpu_1627486293,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_cpu_1627509699,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_cpu_1627529324,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_cpu_1627572876,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_cpu_1627703827,dbservice1,cpu,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_errno111_1626750606,dbservice1,errno111,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_errno111_1626750701,dbservice1,errno111,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1625140467,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625178785,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625188889,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625231603,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625243441,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625384013,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625411468,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625418705,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625578885,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625582957,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625637896,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625671282,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1625675230,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625679820,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1625768540,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625849028,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1625863841,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625867158,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625870624,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625909033,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1625914032,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1625964302,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626032238,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1626113371,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626178789,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626195234,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626266259,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626306060,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1626338404,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626343595,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626393113,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626409893,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1626425140,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626473914,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626511514,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626540721,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626552538,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1626598508,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626773615,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626788281,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1626845470,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626858109,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1626912896,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1626939313,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627046902,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627098214,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1627104046,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627119644,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627157147,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1627223200,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1627237577,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627255258,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627268672,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627272293,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627283279,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627288593,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
dbservice1_memory_1627297432,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
dbservice1_memory_1627316827,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627373850,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
dbservice1_memory_1627386311,dbservice1,memory,database,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
