policy,budget,fault_type,avg_at_5,top1,top3,top5
adaptive_corrupted_anchor,0.25,cpu,0.8133333333333332,0.4,1.0,1.0
adaptive_corrupted_anchor,0.25,errno111,0.79,0.25,1.0,1.0
adaptive_corrupted_anchor,0.25,file_move,0.9116279069767442,0.6046511627906976,1.0,1.0
adaptive_corrupted_anchor,0.25,memory,0.8171779141104294,0.3987730061349693,1.0,1.0
adaptive_corrupted_anchor,0.25,qr_expired,0.8425,0.46875,1.0,1.0
adaptive_corrupted_anchor,0.5,cpu,0.56,0.06666666666666667,0.5333333333333333,1.0
adaptive_corrupted_anchor,0.5,errno111,0.58,0.05,0.6,1.0
adaptive_corrupted_anchor,0.5,file_move,0.8790697674418604,0.5581395348837209,0.9534883720930233,1.0
adaptive_corrupted_anchor,0.5,memory,0.6199386503067484,0.22085889570552147,0.6242331288343558,1.0
adaptive_corrupted_anchor,0.5,qr_expired,0.6837500000000001,0.325,0.7125,1.0
anchored_random_rest,0.25,cpu,0.8160000000000001,0.4266666666666667,1.0,1.0
anchored_random_rest,0.25,errno111,0.784,0.31,1.0,1.0
anchored_random_rest,0.25,file_move,0.8511627906976744,0.4883720930232558,1.0,1.0
anchored_random_rest,0.25,memory,0.799325153374233,0.32944785276073624,1.0,1.0
anchored_random_rest,0.25,qr_expired,0.81225,0.35625,1.0,1.0
anchored_random_rest,0.5,cpu,0.656,0.26666666666666666,0.7066666666666667,1.0
anchored_random_rest,0.5,errno111,0.636,0.22999999999999998,0.67,1.0
anchored_random_rest,0.5,file_move,0.853953488372093,0.5767441860465117,0.9162790697674418,1.0
anchored_random_rest,0.5,memory,0.601717791411043,0.18742331288343558,0.6104294478527608,1.0
anchored_random_rest,0.5,qr_expired,0.62675,0.23875000000000002,0.63875,1.0
full_reference,0.25,cpu,0.3466666666666667,0.06666666666666667,0.4,0.6
full_reference,0.25,errno111,0.31,0.1,0.25,0.6
full_reference,0.25,file_move,0.8465116279069768,0.5348837209302325,0.9302325581395349,0.9767441860465116
full_reference,0.25,memory,0.3039877300613497,0.09969325153374232,0.3067484662576687,0.5030674846625767
full_reference,0.25,qr_expired,0.3875,0.14375,0.39375,0.625
full_reference,0.5,cpu,0.3466666666666667,0.06666666666666667,0.4,0.6
full_reference,0.5,errno111,0.31,0.1,0.25,0.6
full_reference,0.5,file_move,0.8465116279069768,0.5348837209302325,0.9302325581395349,0.9767441860465116
full_reference,0.5,memory,0.3039877300613497,0.09969325153374232,0.3067484662576687,0.5030674846625767
full_reference,0.5,qr_expired,0.3875,0.14375,0.39375,0.625
random_multibudget,0.25,cpu,0.2826666666666667,0.08,0.29333333333333333,0.48000000000000004
random_multibudget,0.25,errno111,0.318,0.1,0.32,0.52
random_multibudget,0.25,file_move,0.3674418604651163,0.17674418604651165,0.3488372093023256,0.5534883720930233
random_multibudget,0.25,memory,0.30116564417177916,0.09570552147239264,0.299079754601227,0.5150306748466258
random_multibudget,0.25,qr_expired,0.28850000000000003,0.08875000000000001,0.28625,0.48375
random_multibudget,0.5,cpu,0.2826666666666667,0.09333333333333332,0.30666666666666664,0.4266666666666667
random_multibudget,0.5,errno111,0.356,0.15,0.37,0.56
random_multibudget,0.5,file_move,0.4762790697674419,0.2930232558139535,0.5162790697674419,0.5488372093023256
random_multibudget,0.5,memory,0.30411042944785277,0.09601226993865031,0.3085889570552148,0.5061349693251533
random_multibudget,0.5,qr_expired,0.31074999999999997,0.09875,0.31875,0.5125
