budget,anchor_corruption,repetition,comparison,mean_delta_avg_at_5,wins,losses,ties
0.25,0.0,0,adaptive_minus_anchored_random,0.021797752808988765,293,229,368
0.25,0.0,1,adaptive_minus_anchored_random,0.01842696629213483,279,208,403
0.25,0.0,2,adaptive_minus_anchored_random,0.023820224719101123,292,209,389
0.25,0.0,3,adaptive_minus_anchored_random,0.026516853932584267,299,210,381
0.25,0.0,4,adaptive_minus_anchored_random,0.017078651685393256,283,238,369
0.25,0.1,0,adaptive_minus_anchored_random,0.015730337078651686,286,235,369
0.25,0.1,1,adaptive_minus_anchored_random,0.014831460674157302,279,217,394
0.25,0.1,2,adaptive_minus_anchored_random,0.019775280898876403,290,220,380
0.25,0.1,3,adaptive_minus_anchored_random,0.022247191011235953,297,217,376
0.25,0.1,4,adaptive_minus_anchored_random,0.018651685393258427,279,240,371
0.25,0.2,0,adaptive_minus_anchored_random,0.023370786516853936,294,228,368
0.25,0.2,1,adaptive_minus_anchored_random,0.014831460674157302,275,222,393
0.25,0.2,2,adaptive_minus_anchored_random,0.02337078651685393,280,216,394
0.25,0.2,3,adaptive_minus_anchored_random,0.00539325842696629,281,233,376
0.25,0.2,4,adaptive_minus_anchored_random,0.00898876404494382,282,256,352
0.25,0.3,0,adaptive_minus_anchored_random,0.0033707865168539327,288,257,345
0.25,0.3,1,adaptive_minus_anchored_random,0.0015730337078651685,267,242,381
0.25,0.3,2,adaptive_minus_anchored_random,-0.00022471910112359665,281,240,369
0.25,0.3,3,adaptive_minus_anchored_random,0.013033707865168538,299,233,358
0.25,0.3,4,adaptive_minus_anchored_random,-0.002247191011235956,264,257,369
0.25,0.4,0,adaptive_minus_anchored_random,0.006067415730337077,276,251,363
0.25,0.4,1,adaptive_minus_anchored_random,0.03415730337078652,296,223,371
0.25,0.4,2,adaptive_minus_anchored_random,0.014157303370786516,274,233,383
0.25,0.4,3,adaptive_minus_anchored_random,0.006741573033707863,279,236,375
0.25,0.4,4,adaptive_minus_anchored_random,0.0013483146067415723,282,257,351
0.25,0.5,0,adaptive_minus_anchored_random,0.005842696629213482,285,257,348
0.25,0.5,1,adaptive_minus_anchored_random,0.008089887640449437,273,239,378
0.25,0.5,2,adaptive_minus_anchored_random,0.013707865168539323,282,222,386
0.25,0.5,3,adaptive_minus_anchored_random,-0.004494382022471912,282,258,350
0.25,0.5,4,adaptive_minus_anchored_random,-0.0044943820224719105,262,270,358
0.5,0.0,0,adaptive_minus_anchored_random,0.02,316,266,308
0.5,0.0,1,adaptive_minus_anchored_random,0.026292134831460676,299,251,340
0.5,0.0,2,adaptive_minus_anchored_random,0.022247191011235956,310,250,330
0.5,0.0,3,adaptive_minus_anchored_random,0.0150561797752809,301,273,316
0.5,0.0,4,adaptive_minus_anchored_random,0.02606741573033708,314,247,329
0.5,0.1,0,adaptive_minus_anchored_random,0.01303370786516854,301,275,314
0.5,0.1,1,adaptive_minus_anchored_random,0.025393258426966294,299,254,337
0.5,0.1,2,adaptive_minus_anchored_random,0.026741573033707867,311,241,338
0.5,0.1,3,adaptive_minus_anchored_random,0.006516853932584271,289,286,315
0.5,0.1,4,adaptive_minus_anchored_random,0.02292134831460674,309,248,333
0.5,0.2,0,adaptive_minus_anchored_random,0.009662921348314606,303,270,317
0.5,0.2,1,adaptive_minus_anchored_random,0.03573033707865169,303,234,353
0.5,0.2,2,adaptive_minus_anchored_random,0.0301123595505618,316,247,327
0.5,0.2,3,adaptive_minus_anchored_random,-0.011685393258426966,281,292,317
0.5,0.2,4,adaptive_minus_anchored_random,0.027415730337078652,316,248,326
0.5,0.3,0,adaptive_minus_anchored_random,0.0017977528089887635,291,271,328
0.5,0.3,1,adaptive_minus_anchored_random,0.01820224719101124,285,257,348
0.5,0.3,2,adaptive_minus_anchored_random,0.0013483146067415738,278,259,353
0.5,0.3,3,adaptive_minus_anchored_random,0.001573033707865169,277,289,324
0.5,0.3,4,adaptive_minus_anchored_random,0.010337078651685393,288,260,342
0.5,0.4,0,adaptive_minus_anchored_random,0.00247191011235955,277,266,347
0.5,0.4,1,adaptive_minus_anchored_random,0.031685393258426967,304,246,340
0.5,0.4,2,adaptive_minus_anchored_random,0.012584269662921348,286,258,346
0.5,0.4,3,adaptive_minus_anchored_random,-0.014382022471910113,266,293,331
0.5,0.4,4,adaptive_minus_anchored_random,0.01146067415730337,306,271,313
0.5,0.5,0,adaptive_minus_anchored_random,0.00853932584269663,291,274,325
0.5,0.5,1,adaptive_minus_anchored_random,0.010561797752808988,269,262,359
0.5,0.5,2,adaptive_minus_anchored_random,0.01707865168539326,283,252,355
0.5,0.5,3,adaptive_minus_anchored_random,-0.0008988764044943813,260,290,340
0.5,0.5,4,adaptive_minus_anchored_random,-0.002921348314606741,278,280,332
